"Category ID","Category Label"
10000,"Arts and Entertainment"
10001,"Arts and Entertainment > Amusement Park"
10002,"Arts and Entertainment > Aquarium"
10003,"Arts and Entertainment > Arcade"
10004,"Arts and Entertainment > Art Gallery"
10005,"Arts and Entertainment > Bingo Center"
10006,"Arts and Entertainment > Bowling Alley"
10007,"Arts and Entertainment > Carnival"
10008,"Arts and Entertainment > Casino"
10009,"Arts and Entertainment > Circus"
10010,"Arts and Entertainment > Comedy Club"
10011,"Arts and Entertainment > Country Club"
10012,"Arts and Entertainment > Country Dance Club"
10013,"Arts and Entertainment > Dance Hall"
10014,"Arts and Entertainment > Disc Golf Course"
10015,"Arts and Entertainment > Escape Room"
10016,"Arts and Entertainment > Exhibit"
10017,"Arts and Entertainment > Fair"
10018,"Arts and Entertainment > Gaming Cafe"
10019,"Arts and Entertainment > Go Kart Track"
10020,"Arts and Entertainment > Internet Cafe"
10021,"Arts and Entertainment > Karaoke Box"
10022,"Arts and Entertainment > Laser Tag Center"
10023,"Arts and Entertainment > Mini Golf Course"
10024,"Arts and Entertainment > Movie Theater"
10025,"Arts and Entertainment > Movie Theater > Drive-in Theater"
10026,"Arts and Entertainment > Movie Theater > Indie Movie Theater"
10027,"Arts and Entertainment > Museum"
10028,"Arts and Entertainment > Museum > Art Museum"
10029,"Arts and Entertainment > Museum > Erotic Museum"
10030,"Arts and Entertainment > Museum > History Museum"
10031,"Arts and Entertainment > Museum > Science Museum"
10032,"Arts and Entertainment > Night Club"
10033,"Arts and Entertainment > Pachinko Parlor"
10034,"Arts and Entertainment > Party Center"
10035,"Arts and Entertainment > Performing Arts Venue"
10036,"Arts and Entertainment > Performing Arts Venue > Amphitheater"
10037,"Arts and Entertainment > Performing Arts Venue > Concert Hall"
10038,"Arts and Entertainment > Performing Arts Venue > Indie Theater"
10039,"Arts and Entertainment > Performing Arts Venue > Music Venue"
10040,"Arts and Entertainment > Performing Arts Venue > Music Venue > Jazz and Blues Venue"
10041,"Arts and Entertainment > Performing Arts Venue > Music Venue > Rock Club"
10042,"Arts and Entertainment > Performing Arts Venue > Opera House"
10043,"Arts and Entertainment > Performing Arts Venue > Theater"
10044,"Arts and Entertainment > Planetarium"
10045,"Arts and Entertainment > Pool Hall"
10046,"Arts and Entertainment > Psychic and Astrologer"
10047,"Arts and Entertainment > Public Art"
10048,"Arts and Entertainment > Roller Rink"
10049,"Arts and Entertainment > Salsa Club"
10050,"Arts and Entertainment > Samba School"
10051,"Arts and Entertainment > Stadium"
10052,"Arts and Entertainment > Strip Club"
10053,"Arts and Entertainment > Ticket Seller"
10054,"Arts and Entertainment > VR Cafe"
10055,"Arts and Entertainment > Water Park"
10056,"Arts and Entertainment > Zoo"
10057,"Arts and Entertainment > Disc Golf"
10058,"Arts and Entertainment > Amusement Park > Attraction"
10059,"Arts and Entertainment > Public Art > Street Art"
10060,"Arts and Entertainment > Stadium > Baseball Stadium"
10061,"Arts and Entertainment > Stadium > Basketball Stadium"
10062,"Arts and Entertainment > Stadium > Football Stadium"
10063,"Arts and Entertainment > Stadium > Hockey Stadium"
10064,"Arts and Entertainment > Stadium > Rugby Stadium"
10065,"Arts and Entertainment > Stadium > Soccer Stadium"
10066,"Arts and Entertainment > Stadium > Tennis Stadium"
10067,"Arts and Entertainment > Stadium > Track Stadium"
10068,"Arts and Entertainment > Zoo > Zoo Exhibit"
10069,"Arts and Entertainment > Public Art > Outdoor Sculpture"
11041,"Business and Professional Services > Film Studio"
12000,"Community and Government"
12009,"Community and Government > Education"
12010,"Community and Government > Education > Adult Education"
12011,"Community and Government > Education > Art School"
12012,"Community and Government > Education > Circus School"
12013,"Community and Government > Education > College and University"
12014,"Community and Government > Education > College and University > College Academic Building"
12015,"Community and Government > Education > College and University > College Administrative Building"
12016,"Community and Government > Education > College and University > College Arts Building"
12017,"Community and Government > Education > College and University > College Auditorium"
12018,"Community and Government > Education > College and University > College Baseball Diamond"
12019,"Community and Government > Education > College and University > College Basketball Court"
12020,"Community and Government > Education > College and University > College Bookstore"
12021,"Community and Government > Education > College and University > College Cafeteria"
12022,"Community and Government > Education > College and University > College Classroom"
12023,"Community and Government > Education > College and University > College Communications Building"
12024,"Community and Government > Education > College and University > College Cricket Pitch"
12025,"Community and Government > Education > College and University > College Engineering Building"
12026,"Community and Government > Education > College and University > College Football Field"
12027,"Community and Government > Education > College and University > College Gym"
12028,"Community and Government > Education > College and University > College History Building"
12029,"Community and Government > Education > College and University > College Hockey Rink"
12030,"Community and Government > Education > College and University > College Lab"
12031,"Community and Government > Education > College and University > College Library"
12032,"Community and Government > Education > College and University > College Math Building"
12033,"Community and Government > Education > College and University > College Quad"
12034,"Community and Government > Education > College and University > College Rec Center"
12035,"Community and Government > Education > College and University > College Residence Hall"
12036,"Community and Government > Education > College and University > College Science Building"
12037,"Community and Government > Education > College and University > College Soccer Field"
12038,"Community and Government > Education > College and University > College Stadium"
12039,"Community and Government > Education > College and University > College Technology Building"
12040,"Community and Government > Education > College and University > College Tennis Court"
12041,"Community and Government > Education > College and University > College Theater"
12042,"Community and Government > Education > College and University > College Track"
12043,"Community and Government > Education > College and University > Fraternity House"
12044,"Community and Government > Education > College and University > Law School"
12045,"Community and Government > Education > College and University > Medical School"
12046,"Community and Government > Education > College and University > Sorority House"
12047,"Community and Government > Education > College and University > Student Center"
12048,"Community and Government > Education > College and University > Community College"
12049,"Community and Government > Education > Computer Training School"
12050,"Community and Government > Education > Culinary School"
12051,"Community and Government > Education > Driving School"
12052,"Community and Government > Education > Flight School"
12053,"Community and Government > Education > Language School"
12054,"Community and Government > Education > Music School"
12055,"Community and Government > Education > Nursery School"
12056,"Community and Government > Education > Preschool"
12057,"Community and Government > Education > Primary and Secondary School"
12058,"Community and Government > Education > Primary and Secondary School > Elementary School"
12059,"Community and Government > Education > Primary and Secondary School > High School"
12060,"Community and Government > Education > Primary and Secondary School > Middle School"
12061,"Community and Government > Education > Private School"
12062,"Community and Government > Education > Religious School"
12063,"Community and Government > Education > Trade School"
12064,"Community and Government > Government Building"
12065,"Community and Government > Government Building > Capitol Building"
12066,"Community and Government > Government Building > City Hall"
12067,"Community and Government > Government Building > Courthouse"
12068,"Community and Government > Government Building > Embassy or Consulate"
12069,"Community and Government > Government Building > Government Department"
12070,"Community and Government > Government Building > Law Enforcement and Public Safety"
12071,"Community and Government > Government Building > Law Enforcement and Public Safety > Fire Station"
12072,"Community and Government > Government Building > Law Enforcement and Public Safety > Police Station"
12089,"Community and Government > Organization > Youth Organization"
13000,"Dining and Drinking"
13001,"Dining and Drinking > Bagel Shop"
13002,"Dining and Drinking > Bakery"
13003,"Dining and Drinking > Bar"
13004,"Dining and Drinking > Bar > Apres Ski Bar"
13005,"Dining and Drinking > Bar > Beach Bar"
13006,"Dining and Drinking > Bar > Beer Bar"
13007,"Dining and Drinking > Bar > Beer Garden"
13008,"Dining and Drinking > Bar > Champagne Bar"
13009,"Dining and Drinking > Bar > Cocktail Bar"
13010,"Dining and Drinking > Bar > Dive Bar"
13011,"Dining and Drinking > Bar > Gay Bar"
13012,"Dining and Drinking > Bar > Hookah Bar"
13013,"Dining and Drinking > Bar > Hotel Bar"
13014,"Dining and Drinking > Bar > Ice Bar"
13015,"Dining and Drinking > Bar > Karaoke Bar"
13016,"Dining and Drinking > Bar > Lounge"
13017,"Dining and Drinking > Bar > Piano Bar"
13018,"Dining and Drinking > Bar > Pub"
13019,"Dining and Drinking > Bar > Rooftop Bar"
13020,"Dining and Drinking > Bar > Sake Bar"
13021,"Dining and Drinking > Bar > Speakeasy"
13022,"Dining and Drinking > Bar > Sports Bar"
13023,"Dining and Drinking > Bar > Tiki Bar"
13024,"Dining and Drinking > Bar > Whisky Bar"
13025,"Dining and Drinking > Bar > Wine Bar"
13026,"Dining and Drinking > Restaurant > BBQ Joint"
13027,"Dining and Drinking > Restaurant > Bistro"
13028,"Dining and Drinking > Breakfast Spot"
13029,"Dining and Drinking > Brewery"
13030,"Dining and Drinking > Restaurant > Buffet"
13031,"Dining and Drinking > Restaurant > Burger Joint"
13032,"Dining and Drinking > Cafe, Coffee, and Tea House"
13037,"Dining and Drinking > Cafeteria"
13038,"Dining and Drinking > Cidery"
13039,"Dining and Drinking > Restaurant > Deli"
13040,"Dining and Drinking > Dessert Shop"
13041,"Dining and Drinking > Creperie"
13051,"Dining and Drinking > Restaurant > Fish and Chips Shop"
13068,"Dining and Drinking > Restaurant > American Restaurant"
13076,"Dining and Drinking > Restaurant > Eastern European Restaurant > Belarusian Restaurant"
13077,"Dining and Drinking > Restaurant > Belgian Restaurant"
13078,"Dining and Drinking > Restaurant > Eastern European Restaurant > Bosnian Restaurant"
13079,"Dining and Drinking > Restaurant > Latin American Restaurant > South American Restaurant > Brazilian Restaurant"
13080,"Dining and Drinking > Restaurant > Latin American Restaurant > South American Restaurant > Brazilian Restaurant > Acai House"
13081,"Dining and Drinking > Restaurant > Latin American Restaurant > South American Restaurant > Brazilian Restaurant > Baiano Restaurant"
13082,"Dining and Drinking > Restaurant > Latin American Restaurant > South American Restaurant > Brazilian Restaurant > Central Brazilian Restaurant "
13083,"Dining and Drinking > Restaurant > Latin American Restaurant > South American Restaurant > Brazilian Restaurant > Churrascaria"
13084,"Dining and Drinking > Restaurant > Latin American Restaurant > South American Restaurant > Brazilian Restaurant > Empada House"
